Time,TempC,TempF,WindSpeedMiles,WindSpeedKmph,WindDirDegree,WindDir16Point,WeatherDesc,PrecipMM,PrecipInches,Humidity,VisibilityKm,VisibilityMiles,PressureMB,PressureInches,CloudCover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,Date_Month
1800,29.0,83.0,6,10.0,279.0,4,1,0.0,0.0,47,10,6,1014,30,8.0,29,84,16,60,29.0,83.0,8,13.0,29,84,1
1900,27.0,81.0,5,8.0,189.0,7,0,0.0,0.0,49,10,6,1015,30,20.0,28,82,15,60,27.0,81.0,7,11.0,28,82,1
2000,26.0,79.0,4,6.0,98.0,15,2,0.0,0.0,51,10,6,1016,30,32.0,27,80,15,59,26.0,79.0,9,14.0,27,80,1
2100,26.0,78.0,3,4.0,8.0,3,2,0.0,0.0,54,10,6,1017,30,44.0,26,80,15,59,26.0,78.0,9,14.0,26,80,1
2200,25.0,77.0,3,5.0,123.0,13,2,0.0,0.0,53,10,6,1016,30,44.0,26,79,15,58,25.0,77.0,8,13.0,26,79,1
2300,25.0,77.0,3,5.0,237.0,5,2,0.0,0.0,52,10,6,1016,30,44.0,26,79,15,58,25.0,77.0,8,13.0,26,79,1
0,24.0,76.0,3,5.0,351.0,3,2,0.0,0.0,51,10,6,1015,30,44.0,26,78,14,58,24.0,76.0,6,9.0,26,78,1
100,24.0,75.0,3,5.0,237.0,5,2,0.0,0.0,52,10,6,1015,30,38.0,25,78,16,61,24.0,75.0,6,9.0,25,78,1
200,23.0,74.0,3,5.0,123.0,13,2,0.0,0.0,53,10,6,1014,30,33.0,25,77,16,61,23.0,74.0,6,9.0,25,77,1
300,23.0,73.0,3,5.0,8.0,3,2,0.0,0.0,54,10,6,1014,30,27.0,25,77,16,61,23.0,73.0,6,9.0,25,77,1
400,23.0,74.0,3,5.0,21.0,6,0,0.0,0.0,56,10,6,1014,30,20.0,25,77,16,61,23.0,74.0,8,13.0,25,77,1
500,23.0,73.0,3,5.0,33.0,6,0,0.0,0.0,57,10,6,1015,30,14.0,25,77,14,58,23.0,73.0,8,14.0,25,77,1
600,23.0,73.0,3,5.0,46.0,11,0,0.0,0.0,59,10,6,1015,30,7.0,25,77,14,58,23.0,73.0,9,14.0,25,77,1
700,24.0,75.0,4,6.0,56.0,11,1,0.0,0.0,54,10,6,1016,30,7.0,25,78,16,61,24.0,75.0,8,13.0,25,78,1
800,26.0,78.0,4,7.0,65.0,14,1,0.0,0.0,49,10,6,1016,30,6.0,27,80,16,61,26.0,78.0,9,14.0,27,80,1
900,28.0,82.0,5,8.0,75.0,14,1,0.0,0.0,44,10,6,1017,30,6.0,28,83,14,58,28.0,82.0,9,15.0,28,83,1
1000,30.0,85.0,5,9.0,88.0,15,1,0.0,0.0,38,10,6,1016,30,6.0,31,87,16,61,30.0,85.0,10,16.0,31,87,1
1100,32.0,89.0,6,9.0,102.0,13,1,0.0,0.0,32,10,6,1016,30,6.0,32,90,16,61,32.0,89.0,10,17.0,32,90,1
1200,33.0,92.0,6,10.0,116.0,13,1,0.0,0.0,26,10,6,1015,30,7.0,34,92,15,59,33.0,92.0,10,16.0,34,92,1
1300,34.0,93.0,5,8.0,171.0,7,1,0.0,0.0,26,10,6,1014,30,8.0,34,94,15,58,34.0,93.0,8,13.0,34,94,1
1400,34.0,94.0,4,6.0,227.0,9,1,0.0,0.0,25,10,6,1013,30,9.0,35,94,14,58,34.0,94.0,5,7.0,35,94,1
1500,34.0,93.0,3,5.0,282.0,2,1,0.0,0.0,24,10,6,1012,30,10.0,34,93,14,57,34.0,93.0,6,10.0,34,93,1
1600,33.0,91.0,4,7.0,288.0,2,1,0.0,0.0,30,10,6,1012,30,13.0,33,91,14,57,33.0,91.0,6,10.0,33,91,1
1700,31.0,87.0,6,9.0,293.0,2,1,0.0,0.0,36,10,6,1013,30,16.0,30,87,14,57,31.0,87.0,9,15.0,30,87,1
1800,29.0,84.0,7,12.0,299.0,2,1,0.0,0.0,41,10,6,1013,30,19.0,29,84,14,57,29.0,84.0,12,19.0,29,84,1
1900,28.0,82.0,6,9.0,312.0,1,0,0.0,0.0,44,10,6,1014,30,15.0,28,83,14,58,28.0,82.0,10,16.0,28,83,1
2000,27.0,80.0,4,7.0,325.0,1,0,0.0,0.0,47,10,6,1015,30,11.0,27,81,14,58,27.0,80.0,10,17.0,27,81,1
2100,26.0,79.0,3,5.0,338.0,0,0,0.0,0.0,50,10,6,1016,30,6.0,27,80,15,58,26.0,79.0,9,15.0,27,80,1
2200,25.0,78.0,3,4.0,240.0,5,0,0.0,0.0,49,10,6,1015,30,6.0,26,79,14,57,25.0,78.0,8,13.0,26,79,1
2300,25.0,77.0,2,4.0,142.0,12,0,0.0,0.0,48,10,6,1015,30,6.0,26,78,13,56,25.0,77.0,7,12.0,26,78,1
0,24.0,76.0,2,4.0,45.0,11,0,0.0,0.0,48,10,6,1014,30,6.0,25,78,13,55,24.0,76.0,4,7.0,25,78,1
100,24.0,75.0,3,4.0,56.0,14,0,0.0,0.0,48,10,6,1014,30,6.0,25,77,12,54,24.0,75.0,5,9.0,25,77,1
200,23.0,74.0,3,5.0,68.0,14,0,0.0,0.0,49,10,6,1014,30,5.0,25,77,12,54,23.0,74.0,6,10.0,25,77,1
300,23.0,73.0,4,6.0,80.0,15,0,0.0,0.0,50,10,6,1013,30,5.0,25,76,12,53,23.0,73.0,7,12.0,25,76,1
400,23.0,73.0,4,6.0,77.0,14,0,0.0,0.0,48,10,6,1014,30,6.0,25,76,11,52,23.0,73.0,8,12.0,25,76,1
500,22.0,72.0,4,6.0,75.0,14,0,0.0,0.0,47,10,6,1014,30,6.0,24,76,10,51,22.0,72.0,8,13.0,24,76,1
600,22.0,72.0,4,6.0,72.0,14,0,0.0,0.0,46,10,6,1014,30,6.0,24,76,10,50,22.0,72.0,9,14.0,24,76,1
700,23.0,73.0,5,7.0,72.0,14,1,0.0,0.0,42,10,6,1015,30,6.0,25,77,13,56,23.0,73.0,8,13.0,25,77,1
800,25.0,77.0,5,8.0,71.0,14,1,0.0,0.0,38,10,6,1016,30,6.0,25,78,14,56,25.0,77.0,7,12.0,25,78,1
900,27.0,81.0,6,9.0,70.0,14,1,0.0,0.0,34,10,6,1017,30,6.0,27,81,10,49,27.0,81.0,10,15.0,27,81,1
1000,29.0,85.0,5,9.0,64.0,14,1,0.0,0.0,31,10,6,1016,30,5.0,29,84,10,51,29.0,85.0,10,16.0,29,84,1
1100,31.0,88.0,5,9.0,58.0,14,1,0.0,0.0,27,10,6,1015,30,5.0,31,88,13,56,31.0,88.0,10,15.0,31,88,1
